	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
76	19900805-M-Los_Angeles-F-Michael_Chang-Stefan_Edberg	6	13	10	9	16.0	22.0	15	10	10	15	25.0	25.0
77	19900812-M-Cincinnati_Masters-F-Brad_Gilbert-Stefan_Edberg	5	3	6	6	11.0	9.0	3	6	5	9	8.0	15.0
78	19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras	11	6	22	3	33.0	9.0	19	11	11	11	30.0	22.0
79	19901006-M-Sydney_Indoor-SF-Stefan_Edberg-Ivan_Lendl	8	4	8	14	16.0	18.0	11	12	5	17	16.0	29.0
80	19901007-M-Sydney_Indoor-F-Boris_Becker-Stefan_Edberg	6	14	5	7	11.0	21.0	12	7	6	13	18.0	20.0
81	19901028-M-Stockholm-F-Stefan_Edberg-Boris_Becker	10	6	8	9	18.0	15.0	10	14	5	13	15.0	27.0
82	19901104-M-Paris_Masters-F-Boris_Becker-Stefan_Edberg	6	1	1	3	7.0	4.0	5	4	1	3	6.0	7.0
83	19901118-M-Tour_Finals-F-Andre_Agassi-Stefan_Edberg	29	29	14	25	43.0	54.0	20	11	16	27	36.0	38.0
84	19910125-M-Australian_Open-SF-Stefan_Edberg-Ivan_Lendl	20	19	15	20	35.0	39.0	26	37	10	17	36.0	54.0
85	19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker	12	16	9	14	21.0	30.0	18	14	10	13	28.0	27.0
86	19910310-M-Indian_Wells_Masters-F-Jim_Courier-Guy_Forget	14	12	21	25	35.0	37.0	25	8	19	29	44.0	37.0
87	19910428-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Boris_Becker	29	15	13	30	42.0	45.0	26	23	36	32	62.0	55.0
88	19910512-M-Hamburg_Masters-F-Karel_Novacek-Magnus_Gustafsson	11	12	24	22	35.0	34.0	10	13	39	31	49.0	44.0
89	19910609-M-Roland_Garros-F-Andre_Agassi-Jim_Courier	29	12	31	28	60.0	40.0	29	9	25	23	54.0	32.0
