	match_id	p1_backhand_per	p1_cc	p1_dl	p1_dm	p1_forehand_per	p1_ii	p1_io	p2_backhand_per	p2_cc	p2_dl	p2_dm	p2_forehand_per	p2_ii	p2_io
857	20180531-M-Roland_Garros-R64-Marton_Fucsovics-Kyle_Edmund.html	0.512280701754386	0.45	0.11	0.25	0.4807017543859649	0.05	0.14	0.5223367697594502	0.41	0.15	0.18	0.47079037800687284	0.03	0.23
858	19920322-M-Miami_Masters-F-Michael_Chang-Alberto_Mancini.html	0.5878378378378378	0.5	0.06	0.32	0.41216216216216217	0.02	0.1	0.4922737306843267	0.39	0.1	0.36	0.5077262693156733	0.02	0.13
859	20110504-M-Madrid_Masters-R32-Novak_Djokovic-Kevin_Anderson.html	0.4126984126984127	0.44	0.13	0.23	0.5873015873015873	0.01	0.19	0.4798387096774194	0.38	0.14	0.34	0.5201612903225806	0.02	0.12
860	20110128-M-Australian_Open-SF-David_Ferrer-Andy_Murray.html	0.48582474226804123	0.54	0.11	0.14	0.5141752577319587	0.07	0.14	0.5910780669144982	0.59	0.2	0.11	0.40892193308550184	0.01	0.09
861	20161021-M-Santiago_CH-QF-Horacio_Zeballos-Pedro_Sousa.html	0.4772727272727273	0.49	0.12	0.25	0.5227272727272727	0.01	0.13	0.45701357466063347	0.43	0.16	0.24	0.5429864253393665	0.01	0.16
862	20141113-M-London-RR-Roger_Federer-Andy_Murray.html	0.4502923976608187	0.46	0.04	0.3	0.543859649122807	0.03	0.17	0.5476190476190477	0.46	0.09	0.3	0.4523809523809524	0.02	0.13
863	20181021-M-Stockholm-F-Stefanos_Tsitsipas-Ernests_Gulbis.html	0.5798816568047337	0.46	0.08	0.35	0.42011834319526625	0.03	0.09	0.6079545454545454	0.5	0.15	0.23	0.39204545454545453	0.0	0.12
864	20090109-M-Doha-SF-Roger_Federer-Andy_Murray.html	0.4777777777777778	0.45	0.08	0.24	0.5222222222222223	0.06	0.17	0.5127478753541076	0.5	0.15	0.18	0.48725212464589235	0.02	0.15
865	19931121-M-Tour_Finals-F-Pete_Sampras-Michael_Stich.html	0.5431654676258992	0.45	0.16	0.22	0.4568345323741007	0.01	0.15	0.6181818181818182	0.42	0.14	0.29	0.38181818181818183	0.02	0.12
866	20190115-M-Australian_Open-R128-Dominic_Thiem-Benoit_Paire.html	0.4383561643835616	0.47	0.12	0.18	0.5596868884540117	0.06	0.18	0.4225092250922509	0.48	0.23	0.17	0.577490774907749	0.0	0.11
867	20010608-M-Roland_Garros-SF-Alex_Corretja-Sebastien_Grosjean.html	0.4868686868686869	0.39	0.08	0.25	0.5131313131313131	0.02	0.26	0.47551020408163264	0.29	0.06	0.4	0.5244897959183673	0.03	0.21
868	20150502-M-Istanbul-SF-Grigor_Dimitrov-Pablo_Cuevas.html	0.5526315789473685	0.32	0.07	0.4	0.4473684210526316	0.05	0.17	0.4713656387665198	0.37	0.05	0.36	0.5286343612334802	0.02	0.2
