	match_id	p1_be	p1_bw	p1_fe	p1_fw	p1_unforced_errors	p1_winners	p2_be	p2_bw	p2_fe	p2_fw	p2_unforced_errors	p2_winners
91	20120422-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal.html	9	4	13	7	22.0	11.0	4	4	6	8	10.0	12.0
92	20120519-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal.html	17	4	18	16	35.0	20.0	5	5	13	9	18.0	14.0
93	20120519-M-Rome_Masters-SF-Roger_Federer-Novak_Djokovic.html	23	2	16	14	39.0	16.0	10	3	6	9	16.0	12.0
94	20120608-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal.html	31	12	25	22	56.0	34.0	12	3	21	25	33.0	28.0
95	20120608-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer.html	13	8	8	11	21.0	19.0	21	7	31	16	52.0	23.0
96	20120729-M-Olympics-R64-Novak_Djokovic-Fabio_Fognini.html	16	8	14	11	30.0	19.0	14	10	14	5	28.0	15.0
97	20120731-M-Olympics-R32-Novak_Djokovic-Andy_Roddick.html	4	9	5	11	9.0	20.0	3	1	6	6	9.0	7.0
98	20120801-M-Olympics-R16-Novak_Djokovic-Lleyton_Hewitt.html	14	6	10	15	24.0	21.0	7	10	18	9	25.0	19.0
99	20120802-M-Olympics-QF-Novak_Djokovic-Jo_Wilfried_Tsonga.html	7	3	11	10	18.0	13.0	11	8	19	2	30.0	10.0
100	20120803-M-Olympics-SF-Andy_Murray-Novak_Djokovic.html	6	3	9	14	15.0	17.0	7	7	8	15	15.0	22.0
101	20120805-M-Olympics-BR-Novak_Djokovic-Juan_Martin_Del_Potro.html	11	4	10	14	21.0	18.0	8	0	10	14	18.0	14.0
102	20120812-M-Canada_Masters-F-Novak_Djokovic-Richard_Gasquet.html	4	4	5	7	9.0	11.0	9	3	11	3	20.0	6.0
103	20120904-M-US_Open-QF-Novak_Djokovic-Juan_Martin_Del_Potro.html	19	15	8	19	27.0	34.0	15	5	20	11	35.0	16.0
104	20120909-M-US_Open-F-Novak_Djokovic-Andy_Murray.html	34	8	35	20	69.0	28.0	26	8	35	11	61.0	19.0
105	20120909-M-US_Open-SF-Novak_Djokovic-David_Ferrer.html	23	4	11	19	34.0	23.0	18	7	17	14	35.0	21.0
106	20121007-M-Beijing-F-Novak_Djokovic-Jo_Wilfried_Tsonga.html	8	6	11	10	19.0	16.0	15	4	17	10	32.0	14.0
107	20121008-M-Shanghai_Masters-F-Novak_Djokovic-Andy_Murray.html	14	10	18	19	32.0	29.0	23	9	23	13	46.0	22.0
108	20121008-M-Shanghai_Masters-R32-Novak_Djokovic-Grigor_Dimitrov.html	6	2	8	7	14.0	9.0	6	0	11	5	17.0	5.0
109	20121107-M-Tour_Finals-RR-Novak_Djokovic-Andy_Murray.html	22	5	11	11	33.0	16.0	23	2	14	16	37.0	18.0
110	20121112-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic.html	14	8	20	12	34.0	20.0	18	4	9	7	27.0	11.0
111	20130117-M-Davis_Cup_World_Group_F-RR-Novak_Djokovic-Tomas_Berdych.html	9	5	11	12	20.0	17.0	23	9	16	18	39.0	27.0
112	20130120-M-Australian_Open-R16-Novak_Djokovic-Stanislas_Wawrinka.html	27	13	28	24	55.0	37.0	43	23	31	25	74.0	48.0
113	20130125-M-Australian_Open-SF-David_Ferrer-Novak_Djokovic.html	6	2	13	7	19.0	9.0	7	11	8	13	15.0	24.0
114	20130127-M-Australian_Open-F-Novak_Djokovic-Andy_Murray.html	28	11	28	27	56.0	38.0	22	5	20	16	42.0	21.0
115	20130302-M-Dubai-F-Novak_Djokovic-Tomas_Berdych.html	14	1	15	9	29.0	10.0	14	4	22	7	36.0	11.0
