	avg_rally_len	match_id	p1_backhand_per	p1_bp_saved	p1_cc	p1_dl	p1_dm	p1_forehand_per	p1_gp_won	p1_ii	p1_io	p1_neterrors	p1_netpassed	p1_netpts	p1_netpts_per	p1_netwon	p1_num_rtpts	p1_ret_inplay	p1_ret_won	p2_backhand_per	p2_bp_saved	p2_cc	p2_dl	p2_dm	p2_forehand_per	p2_gp_won	p2_ii	p2_io	p2_neterrors	p2_netpassed	p2_netpts	p2_netpts_per	p2_netwon	p2_num_rtpts	p2_ret_inplay	p2_ret_won
1821	3.960975609756097	20160328-M-Miami_Masters-R32-Andrey_Kuznetsov-Adrian_Mannarino.html	0.5921985815602837	0.5	0.5	0.15	0.27	0.4078014184397163	0.62	0.01	0.08	0.06	0.22	18.0	0.10975609756097561	0.61	88.0	0.7159090909090909	0.45	0.4349442379182156	0.55	0.59	0.1	0.24	0.5650557620817844	0.51	0.0	0.07	0.0	0.13	8.0	0.04878048780487805	0.63	76.0	0.6973684210526315	0.38
1822	4.047321428571428	20170701-M-Antalya-F-Yuichi_Sugita-Adrian_Mannarino.html	0.4517766497461929	0.0	0.16	0.03	0.24	0.5482233502538071	0.79	0.1	0.47	0.14	0.0	14.0	0.125	0.86	57.0	0.7017543859649122	0.46	0.4972375690607735	0.5	0.06	0.0	0.28	0.5027624309392266	0.48	0.06	0.6	0.25	0.0	8.0	0.07142857142857142	0.5	55.0	0.6363636363636364	0.36
1823	4.837704918032787	20171008-M-Tokyo-F-David_Goffin-Adrian_Mannarino.html	0.5095785440613027	0.5	0.48	0.19	0.21	0.4904214559386973	0.78	0.02	0.11	0.0	0.07	14.0	0.11475409836065574	0.79	66.0	0.7727272727272727	0.39	0.5461847389558233	0.5	0.6	0.07	0.27	0.4538152610441767	0.55	0.01	0.06	0.0	0.0	13.0	0.10655737704918032	0.77	56.0	0.6964285714285714	0.23
1824	6.2807692307692315	20180426-M-Barcelona-R16-Pablo_Carreno_Busta-Adrian_Mannarino.html	0.5747899159663865	0.29	0.55	0.16	0.18	0.42521008403361343	0.54	0.02	0.08	0.06	0.28	18.0	0.08653846153846154	0.67	109.0	0.7889908256880734	0.46	0.46366782006920415	0.45	0.71	0.1	0.12	0.5363321799307958	0.49	0.01	0.06	0.11	0.22	18.0	0.08653846153846154	0.61	99.0	0.8585858585858586	0.41
1825	4.667796610169491	20180622-M-Queens_Club-QF-Novak_Djokovic-Adrian_Mannarino.html	0.5333333333333333	0.5	0.28	0.16	0.35	0.4666666666666667	0.72	0.0	0.21	0.11	0.05	19.0	0.16101694915254236	0.74	63.0	0.746031746031746	0.48	0.5301724137931034	0.69	0.36	0.07	0.45	0.4698275862068966	0.55	0.0	0.12	0.5	0.0	6.0	0.05084745762711865	0.5	55.0	0.6181818181818182	0.27
1826	4.59516129032258	20180630-M-Antalya-F-Damir_Dzumhur-Adrian_Mannarino.html	0.4939271255060729	0.0	0.35	0.1	0.38	0.5060728744939271	0.64	0.01	0.16	0.04	0.04	23.0	0.18548387096774194	0.7	61.0	0.7704918032786885	0.46	0.5738396624472574	0.56	0.45	0.07	0.39	0.42616033755274263	0.6	0.0	0.09	0.17	0.25	12.0	0.0967741935483871	0.5	63.0	0.6825396825396826	0.37
1827	4.309090909090909	20180709-M-Wimbledon-R16-Adrian_Mannarino-Roger_Federer.html	0.45544554455445546	0.58	0.56	0.13	0.18	0.5445544554455446	0.59	0.01	0.12	0.2	0.16	25.0	0.14204545454545456	0.48	76.0	0.5921052631578947	0.22	0.47865853658536583	1.0	0.47	0.21	0.19	0.5213414634146342	0.81	0.04	0.1	0.12	0.08	26.0	0.14772727272727273	0.69	100.0	0.77	0.47
1828	4.313004484304932	20181015-M-Moscow-R32-Adrian_Mannarino-Evgeny_Karlovskiy.html	0.44139650872817954	0.0	0.59	0.04	0.29	0.5561097256857855	0.6	0.0	0.08	0.17	0.08	12.0	0.053811659192825115	0.67	119.0	0.6302521008403361	0.34	0.5470297029702971	0.92	0.38	0.12	0.36	0.452970297029703	0.64	0.02	0.13	0.05	0.12	43.0	0.19282511210762332	0.7	104.0	0.7211538461538461	0.35
1829	3.831460674157303	20181021-M-Moscow-F-Adrian_Mannarino-Karen_Khachanov.html	0.4074074074074074	0.33	0.57	0.06	0.32	0.5925925925925926	0.47	0.0	0.05	0.25	0.0	8.0	0.0898876404494382	0.63	46.0	0.5652173913043478	0.24	0.5314685314685315	1.0	0.46	0.08	0.32	0.46853146853146854	0.75	0.01	0.13	0.13	0.0	8.0	0.0898876404494382	0.88	43.0	0.6744186046511628	0.44
1830	3.2886792452830194	20150318-M-Shenzhen_CH-R16-Marton_Fucsovics-Tristan_Lamasine.html	0.44776119402985076	0.4	0.36	0.13	0.34	0.5522388059701493	0.53	0.02	0.15	0.18	0.06	17.0	0.1069182389937107	0.65	75.0	0.7066666666666667	0.29	0.46116504854368934	0.67	0.39	0.05	0.28	0.5388349514563107	0.81	0.02	0.27	0.09	0.09	22.0	0.13836477987421383	0.68	84.0	0.6309523809523809	0.37
